movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2065613
霸王别姬,2,9.6,1531201
阿甘正传,3,9.5,1561169
这个杀手不太冷,4,9.4,1752612
美丽人生,5,9.5,979472
泰坦尼克号,6,9.4,1514043
千与千寻,7,9.4,1621576
辛德勒的名单,8,9.5,795646
盗梦空间,9,9.3,1492025
忠犬八公的故事,10,9.4,1037633
海上钢琴师,11,9.3,1243517
楚门的世界,12,9.3,1115400
三傻大闹宝莱坞,13,9.2,1384212
机器人总动员,14,9.3,982081
放牛班的春天,15,9.3,963022
星际穿越,16,9.3,1116484
大话西游之大圣娶亲,17,9.2,1094356
熔炉,18,9.3,674750
疯狂动物城,19,9.2,1308553
无间道,20,9.2,893044
龙猫,21,9.2,925258
教父,22,9.3,676097
当幸福来敲门,23,9.1,1105881
怦然心动,24,9.1,1289816
触不可及,25,9.2,722772
控方证人,26,9.6,293293
蝙蝠侠：黑暗骑士,27,9.2,745355
活着,28,9.2,579810
寻梦环游记,29,9.1,1090750
乱世佳人,30,9.3,497224
末代皇帝,31,9.2,528520
摔跤吧！爸爸,32,9.0,1134500
指环王3：王者无敌,33,9.2,548541
何以为家,34,9.1,672171
少年派的奇幻漂流,35,9.1,1038185
飞屋环游记,36,9.0,970835
十二怒汉,37,9.4,330323
鬼子来了,38,9.2,447281
素媛,39,9.2,452898
天空之城,40,9.1,616183
哈尔的移动城堡,41,9.1,710108
大话西游之月光宝盒,42,9.0,876207
天堂电影院,43,9.2,479818
罗马假日,44,9.0,711145
闻香识女人,45,9.1,619102
哈利·波特与魔法石,46,9.0,679637
辩护人,47,9.2,443619
我不是药神,48,9.0,1517136
搏击俱乐部,49,9.0,638201
死亡诗社,50,9.1,505261
教父2,51,9.2,374567
狮子王,52,9.0,582717
指环王2：双塔奇兵,53,9.1,500640
大闹天宫,54,9.3,279818
窃听风暴,55,9.1,415551
猫鼠游戏,56,9.0,584079
指环王1：魔戒再现,57,9.0,563370
两杆大烟枪,58,9.1,443925
钢琴家,59,9.2,376869
美丽心灵,60,9.0,548239
饮食男女,61,9.1,411536
黑客帝国,62,9.0,564905
飞越疯人院,63,9.1,434879
本杰明·巴顿奇事,64,8.9,715831
V字仇杀队,65,8.9,767603
让子弹飞,66,8.8,1165308
看不见的客人,67,8.8,846236
西西里的美丽传说,68,8.9,704802
小鞋子,69,9.2,289546
拯救大兵瑞恩,70,9.0,463484
绿皮书,71,8.9,1098398
海豚湾,72,9.3,287382
情书,73,8.9,656747
穿条纹睡衣的男孩,74,9.1,358570
海蒂和爷爷,75,9.2,282629
音乐之声,76,9.0,431240
美国往事,77,9.2,303648
致命魔术,78,8.9,614046
低俗小说,79,8.8,605290
七宗罪,80,8.8,709341
沉默的羔羊,81,8.8,607070
蝴蝶效应,82,8.8,674229
禁闭岛,83,8.8,677653
春光乍泄,84,8.9,455532
心灵捕手,85,8.9,503526
布达佩斯大饭店,86,8.8,639295
被嫌弃的松子的一生,87,8.9,543235
阿凡达,88,8.7,962303
摩登时代,89,9.3,201621
剪刀手爱德华,90,8.7,813878
勇敢的心,91,8.9,448254
天使爱美丽,92,8.7,776626
喜剧之王,93,8.7,678890
致命ID,94,8.8,570227
加勒比海盗,95,8.8,639868
断背山,96,8.8,540839
哈利·波特与死亡圣器(下),97,8.8,540653
杀人回忆,98,8.8,473135
狩猎,99,9.1,257449
请以你的名字呼唤我,100,8.9,459287
幽灵公主,101,8.9,397281
阳光灿烂的日子,102,8.8,457641
小森林 夏秋篇,103,9.0,303479
重庆森林,104,8.7,577150
入殓师,105,8.8,451949
第六感,106,8.9,394200
7号房的礼物,107,8.9,375057
红辣椒,108,9.0,280903
消失的爱人,109,8.7,648390
小森林 冬春篇,110,9.0,267824
爱在黎明破晓前,111,8.8,430285
一一,112,9.0,256332
侧耳倾听,113,8.9,331093
唐伯虎点秋香,114,8.6,736004
超脱,115,8.9,336686
玛丽和马克思,116,8.9,334625
倩女幽魂,117,8.7,521520
蝙蝠侠：黑暗骑士崛起,118,8.8,515587
告白,119,8.7,540465
甜蜜蜜,120,8.8,376930
大鱼,121,8.8,425416
阳光姐妹淘,122,8.8,460998
无人知晓,123,9.1,197683
萤火之森,124,8.9,358152
射雕英雄传之东成西就,125,8.7,473614
驯龙高手,126,8.7,551826
超能陆战队,127,8.7,714121
借东西的小人阿莉埃蒂,128,8.8,391135
幸福终点站,129,8.8,392194
菊次郎的夏天,130,8.8,371131
爱在日落黄昏时,131,8.8,364632
恐怖直播,132,8.8,456189
完美的世界,133,9.1,184720
神偷奶爸,134,8.6,711305
怪兽电力公司,135,8.7,465923
功夫,136,8.6,685548
人生果实,137,9.5,98626
玩具总动员3,138,8.8,361304
傲慢与偏见,139,8.6,553449
血战钢锯岭,140,8.7,583154
风之谷,141,8.9,283135
天书奇谭,142,9.2,150108
时空恋旅人,143,8.7,398553
教父3,144,8.9,249751
上帝之城,145,8.9,232201
电锯惊魂,146,8.7,361288
喜宴,147,8.9,242801
被解救的姜戈,148,8.7,441628
英雄本色,149,8.7,363631
哪吒闹海,150,9.1,177487
七武士,151,9.2,135879
谍影重重3,152,8.8,311390
岁月神偷,153,8.7,462210
我是山姆,154,8.9,218459
釜山行,155,8.5,813852
头号玩家,156,8.7,1023938
纵横四海,157,8.8,293512
疯狂原始人,158,8.7,625521
三块广告牌,159,8.7,611127
哈利·波特与阿兹卡班的囚徒,160,8.7,402487
心迷宫,161,8.7,355137
达拉斯买家俱乐部,162,8.8,327074
萤火虫之墓,163,8.7,323220
荒蛮故事,164,8.8,302874
卢旺达饭店,165,8.9,213495
真爱至上,166,8.6,527875
贫民窟的百万富翁,167,8.6,576967
东邪西毒,168,8.6,439445
你的名字。,169,8.4,996223
记忆碎片,170,8.6,444652
花样年华,171,8.7,412733
爆裂鼓手,172,8.7,401635
一个叫欧维的男人决定去死,173,8.8,271855
黑天鹅,174,8.6,638071
忠犬八公物语,175,9.2,133837
黑客帝国3：矩阵革命,176,8.8,302128
哈利·波特与密室,177,8.6,421404
模仿游戏,178,8.7,438167
头脑特工队,179,8.7,422664
未麻的部屋,180,8.9,190267
你看起来好像很好吃,181,8.9,250036
新世界,182,8.8,238160
雨人,183,8.7,310656
无敌破坏王,184,8.7,385558
海街日记,185,8.8,286490
冰川时代,186,8.6,461729
恋恋笔记本,187,8.5,480639
惊魂记,188,9.0,168269
海边的曼彻斯特,189,8.6,357108
二十二,190,8.7,215846
房间,191,8.8,290300
恐怖游轮,192,8.5,573463
虎口脱险,193,8.9,171915
魔女宅急便,194,8.6,338994
奇迹男孩,195,8.6,419983
疯狂的石头,196,8.5,580609
雨中曲,197,9.0,149799
人工智能,198,8.6,319337
小偷家族,199,8.7,593245
绿里奇迹,200,8.8,202136
爱在午夜降临前,201,8.8,234045
罗生门,202,8.8,221650
终结者2：审判日,203,8.7,255484
初恋这件小事,204,8.4,769181
海洋,205,9.1,130980
魂断蓝桥,206,8.8,202084
可可西里,207,8.8,211681
2001太空漫游,208,8.8,203500
燃情岁月,209,8.8,216399
穿越时空的少女,210,8.6,298182
城市之光,211,9.3,90801
牯岭街少年杀人事件,212,8.8,186440
新龙门客栈,213,8.6,321224
无耻混蛋,214,8.6,355818
完美陌生人,215,8.5,405806
源代码,216,8.4,610270
色，戒,217,8.5,490790
青蛇,218,8.5,372860
阿飞正传,219,8.5,363374
遗愿清单,220,8.6,270802
香水,221,8.5,424076
谍影重重2,222,8.7,262764
血钻,223,8.7,257952
地球上的星星,224,8.9,151786
大佛普拉斯,225,8.7,278335
战争之王,226,8.6,263564
谍影重重,227,8.6,313906
疯狂的麦克斯4：狂暴之路,228,8.6,372893
步履不停,229,8.8,184356
彗星来的那一夜,230,8.5,365865
猜火车,231,8.5,340972
九品芝麻官,232,8.5,391329
朗读者,233,8.6,372208
浪潮,234,8.7,205514
哈利·波特与火焰杯,235,8.5,358143
小萝莉的猴神大叔,236,8.4,360006
再次出发之纽约遇见你,237,8.6,307052
东京物语,238,9.2,92633
聚焦,239,8.8,210927
驴得水,240,8.3,670294
追随,241,8.9,133591
